NAMA,IDPEL,ALAMAT,TARIF,DAYA,KDPT_2,TAGSASI / METER,UNITUP,WILKER,ULP,NOM MCB,X,Y,MERK METER,TYPE METER,NOMOR METER,NAMA GARDU,NO. TIANG,,
PJU DESA JUWET,514541419189,JUWET KEL JUWET,P3,3500.0,1.0,METER,51458.0,KAB,KERTOSONO,1591.0,-7.382755,112.101421,CANNET,DDS137,50904669640,HJ097,D06C01,,#N/A
PJU DESA PURWODADI,514581024296,PURWODADI KEC PURWOASRI,P3,3500.0,1.0,METER,51458.0,KAB,KERTOSONO,1591.0,-7.6447917,112.1715405,CANNET,DDS137,50904668592,HJ164,D08C04D07,,#N/A
PJU BLAWE,514581054555,DS BLAWE KEC PURWOASRI,P3,3500.0,1.0,METER,51458.0,KAB,KERTOSONO,1591.0,-7.6504314,112.1301469,CANNET,DDS137,50904676132,HJ049,B02A09,,
PJU DESA BELOR,514581024270,BELOR KEC PURWOASRI,P3,3500.0,1.0,METER,51458.0,KAB,KERTOSONO,1591.0,-7.6521492,112.1372741,CANNET,DDS137,50904673519,HJ124,D05,,
PJU DESA JUWET,514541371991,JUWET KEC KUNJANG,P3,3500.0,1.0,METER,51458.0,KAB,KERTOSONO,1591.0,-7.65261603239301,112.182920338277,CANNET,DDS137,50903571837,HJ319,B10C04,,
PJU WONOTENGAH,514581054548,DS WONOTENGAH,P3,3500.0,1.0,METER,51458.0,KAB,KERTOSONO,1591.0,-7.6581518,112.1103708,CANNET,DDS137,50904674640,HJ005,D08,,
PJU DESA TENGGER,514581024300,TENGGER KEC KUNJANG,P3,3500.0,1.0,METER,51458.0,KAB,KERTOSONO,1591.0,-7.662411,112.1760023,CANNET,DDS137,50904673386,HJ079,D08,,
PJU JL RAYA SALAM,514010936706,DN SALAM DS MRANGGEN,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.664424,112.087435,SMARTMETER,SMI 200 S,130128945,EA426,D2,,
P J U TANON,514010608958,DN TANON,P3,3500.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.664752,112.088047,,,,EA426,D0,,
PJU DS PESING,514010937454,DS PESING DS PESING,P3,1300.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,591.0,-7.667042,112.098285,SMARTMETER,SMI 200 S,130038154,EA589,A6D9A1,,
